Problem Details,Status,Created By,Updated By
AESTHETICS - DISCOLORATION,ACTIVE,1,
AESTHETICS - MISSING PARTS / COMPONENTS,ACTIVE,1,
AESTHETICS - SCRATCHES / DENTS,ACTIVE,1,
AESTHETICS - WEAK ADHESIVE,ACTIVE,1,
BATTERY - BLOATED,ACTIVE,1,
BATTERY - EASILY DRAINED,ACTIVE,1,
BATTERY - NOT CHARGING,ACTIVE,1,
BATTERY - OVERHEATING,ACTIVE,1,
CAMERA - FOCUS ISSUES,ACTIVE,1,
CONNECTIVITY - SIGNAL,ACTIVE,1,
CONNECTIVITY - SYNC,ACTIVE,1,
CONNECTIVITY - WIFI,ACTIVE,1,
DISPLAY - CRACKED SCREEN,ACTIVE,1,
DISPLAY - FLICKERING SCREEN,ACTIVE,1,
DISPLAY - TOUCH MALFUNCTIONING,ACTIVE,1,
INPUT - BUTTON MALFUNCTIONING,ACTIVE,1,
MICROPHONE - NO SOUND INPUT,ACTIVE,1,
OTHERS,ACTIVE,1,
POWER - INTERMITTENT CHARGING,ACTIVE,1,
POWER - NOT CHARGING,ACTIVE,1,
POWER - NOT OPENING,ACTIVE,1,
SCREEN - DEAD PIXELS,ACTIVE,1,
SOFTWARE - HANGING,ACTIVE,1,
SOFTWARE - VIRUS,ACTIVE,1,
SOUND - DISTORTED/STATIC,ACTIVE,1,
SOUND - NO VOLUME,ACTIVE,1,
